,Diario,Titular,Pos,Neg,Neu,Extensión,Link,Fecha,Autor,Recogido,Obj_link
185,ABC,Vox critica al PP por repartirse el Gobierno de Madrid: «Primero hay que cazar al oso»,0.0016538449563086,0.9902093410491944,0.0081367958337068,16,https://www.abc.es/espana/abci-critica-pp-repartirse-gobierno-madrid-primero-cazar-202104191321_noticia.html,2021-04-19,[],21-04-21,
184,ABC,Casado se refuerza como alternativa a Sánchez,0.2310012131929397,0.1151082664728164,0.6538904905319214,7,https://www.abc.es/opinion/abci-editorial-abc-casado-refuerza-como-alternativa-sanchez-202104192337_noticia.html,2021-04-19,[],21-04-21,
183,ABC,"Isabel Díaz Ayuso y Marta Rivera, exconsejera de Ciudadanos, juntas en Sol en plena campaña",0.0281620919704437,0.5438920259475708,0.4279458224773407,15,https://www.abc.es/espana/abci-isabel-diaz-ayuso-y-marta-rivera-exconsejera-ciudadanos-juntas-plena-campana-202104191333_noticia.html,2021-04-19,[],21-04-21,
182,El País,"La opa de Díaz Ayuso a Cs: tras Toni Cantó, Marta Rivera de la Cruz",0.0552693121135234,0.1733843684196472,0.7713463306427002,15,https://elpais.com/espana/elecciones-madrid/2021-04-19/la-opa-de-diaz-ayuso-a-cs-tras-toni-canto-marta-rivera-de-la-cruz.html,2021-04-19,"['Juan José Mateo', 'Elsa García De Blas', 'Eduardo Parra', 'Europa Press']",21-04-21,
188,El País,Casado apuesta por Ayuso también para presidir el PP de Madrid,0.1017882600426673,0.3134059011936188,0.5848058462142944,11,https://elpais.com/espana/elecciones-madrid/2021-04-19/casado-apuesta-por-ayuso-tambien-para-el-pp-de-madrid.html,2021-04-19,['Javier Casqueiro'],21-04-21,
180,eldiario.es,"Casado habla ya de un ""cambio de ciclo"" en España y ve al PP ganando las próximas elecciones generales",0.0710477381944656,0.1290242373943328,0.7999280095100403,19,https://www.eldiario.es/politica/casado-habla-cambio-ciclo-espana-ve-pp-ganando-proximas-generales_1_7834993.html,2021-04-19,"['Iñigo Aduriz', 'David Mudarra', 'Raúl Sánchez', 'Ana Ordaz', 'Victòria Oliveres', 'Canarias Ahora', 'Irene Castro', 'Andrés Gil', 'Diego Casado', 'Aurora Santos-Olmo']",21-04-21,
179,ABC,"El CIS de Tezanos sube al PP 2,7 puntos en un mes y hunde a Ciudadanos en toda España",0.0024003309663385,0.9932225942611694,0.0043770489282906,19,https://www.abc.es/espana/abci-tezanos-sube-pp-27-puntos-y-hunde-ciudadanos-202104191137_noticia.html,2021-04-19,[],21-04-21,
178,El Mundo,Lista candidatos Unidas Podemos elecciones Madrid 2021,0.1779649704694748,0.0370550937950611,0.7849799990653992,7,https://www.elmundo.es/elecciones/elecciones-madrid/2021/04/19/607d7412fc6c83d97f8b4609.html,2021-04-19,"['Javi Martínez', 'El Mundo']",21-04-21,
177,El Español,Campaña electoral,0.189682736992836,0.0484077036380767,0.7619095444679259,2,https://www.elespanol.com/opinion/vinetas/20210419/campana-electoral/574882508_19.html,2021-04-19,[],21-04-21,
176,El Español,"Reaparece Marta Rivera de la Cruz, exconsejera de Cultura de Ciudadanos, en un acto junto a Ayuso",0.0279135536402463,0.4712319374084472,0.5008544921875,17,https://www.elespanol.com/espana/madrid/20210419/reaparece-marta-rivera-cruz-cultura-cs-ayuso/574943390_0.html,2021-04-19,[],21-04-21,
175,El Español,Ayuso asegura que habrá toros en Madrid el 2-M pese a la recomendación del Gobierno,0.0118026407435536,0.2140043675899505,0.7741929888725281,15,https://www.elespanol.com/espana/madrid/20210419/ayuso-asegura-toros-madrid-pese-recomendacion-gobierno/574942958_0.html,2021-04-19,[],21-04-21,
181,El Mundo,"Ángel Gabilondo destaca que ""coincide plenamente con la vicepresidenta Nadia Calviño"" y no subirá los impuestos",0.1213848963379859,0.0820544585585594,0.7965606451034546,16,https://www.elmundo.es/madrid/2021/04/19/607d5234fdddffa85c8b45e4.html,2021-04-19,"['Eva Ercolanese', 'Luis Ángel Sanz']",21-04-21,
174,eldiario.es,Madrid una y no 43: la circunscripción única con la que el PP quiso acabar para amarrar sus mayorías,0.0084444815292954,0.9267654418945312,0.0647901445627212,19,https://www.eldiario.es/politica/madrid-no-43-circunscripcion-unica-pp-quiso-acabar-amarrar-mayorias_1_7823388.html,2021-04-19,"['Marcos Pinheiro', 'Eduardo Parra - Europa Press - Archivo', 'Raúl Sánchez', 'Ana Ordaz', 'Victòria Oliveres', 'Canarias Ahora', 'Fátima Caballero', 'Javier Biosca Azcoiti', 'Neus Tomàs', 'Rosa María Artal']",21-04-21,
271,El País,La Fiscalía abre una investigación por un posible delito de odio en el cartel de Vox contra los menores migrantes,0.0078342715278267,0.9267838597297668,0.0653818696737289,20,https://elpais.com/espana/elecciones-madrid/2021-04-20/mas-madrid-denuncia-a-la-fiscalia-un-cartel-electoral-de-vox-contra-los-menores-migrantes.html,2021-04-20,"['Manuel Viejo', 'Andrea Comas']",21-04-21,
270,El Mundo,Los candidatos a las Elecciones de la Comunidad de Madrid 2021,0.0572669431567192,0.2400690019130706,0.7026641368865967,11,https://www.elmundo.es/elecciones/elecciones-madrid/2021/04/20/607ea5d8fc6c83a5048b4643.html,2021-04-20,"['Javier López', 'Víctor Lerena', 'David Fernández', 'Rodrigo Jiménez', 'Javi Martínez', 'Luca Piergiovanni', 'El Mundo']",21-04-21,
269,El Mundo,¿Qué alegaciones existen para no estar en una mesa electoral? ¿Cuál es la multa por no ir?,0.002030583564192,0.9838988184928894,0.0140706198289989,17,https://www.elmundo.es/elecciones/elecciones-madrid/2021/04/20/607ec649fc6c8341078b4586.html,2021-04-20,"['Alberto Di Lolli', 'El Mundo']",21-04-21,
268,El Confidencial,Fiscalía investiga si Vox comete un delito de odio por el cartel electoral contra los menas,0.0093036768957972,0.8190562725067139,0.1716400533914566,16,https://www.elconfidencial.com/espana/madrid/2021-04-20/fiscalia-vox-delito-odio-cartel-electoral-menas_3042735/,2021-04-20,"['Fernando Garea', 'Beatriz Parera']",21-04-21,
267,El País,La izquierda se disputa el corazón de la capital,0.1436288058757782,0.2427093982696533,0.6136618256568909,9,https://elpais.com/espana/elecciones-madrid/2021-04-20/la-izquierda-se-disputa-el-corazon-de-la-capital.html,2021-04-20,['Luis De Vega'],21-04-21,
263,ABC,Debate en Telemadrid: un 'cinco contra una' mucho más flexible y sin corsés,0.0390943102538585,0.4459550976753235,0.5149505734443665,13,https://www.abc.es/espana/madrid/abci-debate-telemadrid-cinco-contra-mucho-mas-flexible-y-sin-corses-202104210059_noticia.html,2021-04-20,[],21-04-21,
265,eldiario.es,Vox carga contra los menores migrantes con datos manipulados en sus carteles de campaña,0.0023031872697174,0.9914945363998412,0.0062022977508604,14,https://www.eldiario.es/madrid/vox-coloca-publicidad-electoral-estacion-sol_1_7840154.html,2021-04-20,"['Raúl Sánchez', 'Ana Ordaz', 'Victòria Oliveres', 'Canarias Ahora', 'Fátima Caballero', 'Javier Biosca Azcoiti', 'Neus Tomàs', 'Rosa María Artal']",21-04-21,
