,titular,diario,fecha,todo
323,El Madrid de Rocío Monasterio : « Hablo con mis hijos de política ; les digo que el sacrificio vale la pena » ,La Razón,2021-04-30,"El Madrid de Rocío Monasterio : « Hablo con mis hijos de política ; les digo que el sacrificio vale la pena »  (La Razón, 2021-04-30) | "
324,Pablo Echenique acusa a Ayuso de “ justificar ” el terrorismo al decir que Iglesias “ nació del mal para hacer el mal ” ,La Razón,2021-04-29,"Pablo Echenique acusa a Ayuso de “ justificar ” el terrorismo al decir que Iglesias “ nació del mal para hacer el mal ”  (La Razón, 2021-04-29) | "
325,La Fundación Franco cuenta con Vox para evitar su ilegalización,La Razón,2021-04-29,"La Fundación Franco cuenta con Vox para evitar su ilegalización (La Razón, 2021-04-29) | "
326,La lucha por el voto de Ciudadanos : en estos 13 distritos y 10 municipios se juega el destino de Madrid,El Español,2021-04-30,"La lucha por el voto de Ciudadanos : en estos 13 distritos y 10 municipios se juega el destino de Madrid (El Español, 2021-04-30) | "
327,Elecciones Madrid | Ábalos compara el Madrid de Ayuso con el régimen franquista,El Confidencial,2021-04-30,"Elecciones Madrid | Ábalos compara el Madrid de Ayuso con el régimen franquista (El Confidencial, 2021-04-30) | "
328,Falsedades y medias verdades en campaña | De las mentiras del voto por correo de Vox al bulo sobre las dictaduras comunistas,El País,2021-04-30,"Falsedades y medias verdades en campaña | De las mentiras del voto por correo de Vox al bulo sobre las dictaduras comunistas (El País, 2021-04-30) | "
329,"Ábalos arremete contra Ayuso por sus "" ocurrencias alocadas "" y por mantener "" una relación impúdica con la ultraderecha "" ",El Mundo,2021-04-30,"Ábalos arremete contra Ayuso por sus "" ocurrencias alocadas "" y por mantener "" una relación impúdica con la ultraderecha ""  (El Mundo, 2021-04-30) | "
330,Las excusas para no acudir a una mesa electoral en las elecciones en Madrid se disparan un 43 % ,La Razón,2021-04-30,"Las excusas para no acudir a una mesa electoral en las elecciones en Madrid se disparan un 43 %  (La Razón, 2021-04-30) | "
331,"Ayuso , de motera y a golpe de rock , publica un nuevo vídeo electoral : « Seguiremos peleando porque sois los mejores » ",ABC,2021-04-30,"Ayuso , de motera y a golpe de rock , publica un nuevo vídeo electoral : « Seguiremos peleando porque sois los mejores »  (ABC, 2021-04-30) | "
332,"Así fue el tapón a las residencias de mayores de Madrid , hospital por hospital : el 73 % de muertos no fue trasladado",El País,2021-05-01,"Así fue el tapón a las residencias de mayores de Madrid , hospital por hospital : el 73 % de muertos no fue trasladado (El País, 2021-05-01) | "
333,Iglesias equipara la libertad que pide Ayuso con la época del franquismo,La Razón,2021-04-30,"Iglesias equipara la libertad que pide Ayuso con la época del franquismo (La Razón, 2021-04-30) | "
334,"Ábalos compara a Ayuso con Franco y dice que Madrid "" es lo más parecido a una dictadura "" ",El Español,2021-04-30,"Ábalos compara a Ayuso con Franco y dice que Madrid "" es lo más parecido a una dictadura ""  (El Español, 2021-04-30) | "
335,Una bala en la urna,ABC,2021-04-29,"Una bala en la urna (ABC, 2021-04-29) | "
336,Feijóo censura que se haga campaña en Madrid con Correos y se pregunta cómo se detecta ántrax y no balas,ABC,2021-04-29,"Feijóo censura que se haga campaña en Madrid con Correos y se pregunta cómo se detecta ántrax y no balas (ABC, 2021-04-29) | "
337,"Así fue el tapón a las residencias de mayores de Madrid , hospital por hospital : el 73 % de muertos no fue trasladado a un centro médico",El País,2021-05-01,"Así fue el tapón a las residencias de mayores de Madrid , hospital por hospital : el 73 % de muertos no fue trasladado a un centro médico (El País, 2021-05-01) | "
338,De balas y cañas,El País,2021-04-30,"De balas y cañas (El País, 2021-04-30) | "
339,"Casado arremete contra Iglesias : "" No sólo le pagamos la niñera , sino a matones que patean a la Policía "" ",El Mundo,2021-05-01,"Casado arremete contra Iglesias : "" No sólo le pagamos la niñera , sino a matones que patean a la Policía ""  (El Mundo, 2021-05-01) | "
