,titular,diario,fecha,todo
135,Mañueco y Ayuso piden a Sánchez que « rectifique » en su « agresión » al fin del esquí en Navacerrada,ABC,10-04-2021,"Mañueco y Ayuso piden a Sánchez que « rectifique » en su « agresión » al fin del esquí en Navacerrada (ABC, 10-04-2021) | "
136,El Gobierno se divide en la condena a los radicales y cuestiona el papel de Santiago Abascal,ABC,09-04-2021,"El Gobierno se divide en la condena a los radicales y cuestiona el papel de Santiago Abascal (ABC, 09-04-2021) | "
137,"Bal niega que apoyar a Ayuso sea una « traición » a Aguado , pero señala que no estará en un Gobierno con Vox",ABC,08-04-2021,"Bal niega que apoyar a Ayuso sea una « traición » a Aguado , pero señala que no estará en un Gobierno con Vox (ABC, 08-04-2021) | "
138,"Abascal denuncia la traición de Cs , « el puñal naranja » , por abrir la puerta de Madrid a Iglesias",ABC,10-04-2021,"Abascal denuncia la traición de Cs , « el puñal naranja » , por abrir la puerta de Madrid a Iglesias (ABC, 10-04-2021) | "
139,Podemos justifica la violencia contra Vox en Vallecas : « Son unos pijos que han ido a provocar »,ABC,10-04-2021,"Podemos justifica la violencia contra Vox en Vallecas : « Son unos pijos que han ido a provocar » (ABC, 10-04-2021) | "
140,Iglesias justifica la violencia contra Vox durante su mitin de Vallecas,ABC,09-04-2021,"Iglesias justifica la violencia contra Vox durante su mitin de Vallecas (ABC, 09-04-2021) | "
141,"Abascal culpa a Sánchez , Marlaska y el « criminal patológico » Iglesias de la violencia contra Vox",ABC,08-04-2021,"Abascal culpa a Sánchez , Marlaska y el « criminal patológico » Iglesias de la violencia contra Vox (ABC, 08-04-2021) | "
142,"Vox , de nuevo víctima del totalitarismo",ABC,08-04-2021,"Vox , de nuevo víctima del totalitarismo (ABC, 08-04-2021) | "
143,EE .UU . denuncia los ataques a la prensa del Gobierno español en su informe anual de Derechos Humanos,ABC,04-04-2021,"EE .UU . denuncia los ataques a la prensa del Gobierno español en su informe anual de Derechos Humanos (ABC, 04-04-2021) | "
144,"Iglesias acusa a  "" Abascal y sus matones ""  de provocar la  "" carga ""  policial y la  "" violencia ""  en Vallecas",El Español,07-04-2021,"Iglesias acusa a  "" Abascal y sus matones ""  de provocar la  "" carga ""  policial y la  "" violencia ""  en Vallecas (El Español, 07-04-2021) | "
145,El ataque de Echenique a Televisión Española con un  'recado ' para Felipe VI,El Español,07-04-2021,"El ataque de Echenique a Televisión Española con un  'recado ' para Felipe VI (El Español, 07-04-2021) | "
146,"Iglesias utiliza la denuncia del futbolista Diakhaby en Cádiz para su campaña de que  "" Madrid es racista "" ",El Español,06-04-2021,"Iglesias utiliza la denuncia del futbolista Diakhaby en Cádiz para su campaña de que  "" Madrid es racista ""  (El Español, 06-04-2021) | "
147,"Enrique Santiago :  "" El PP añora el franquismo e Iglesias es un referente para los demócratas "" ",El Español,06-04-2021,"Enrique Santiago :  "" El PP añora el franquismo e Iglesias es un referente para los demócratas ""  (El Español, 06-04-2021) | "
148,"Atacan con material explosivo la sede de Podemos en Cartagena :  "" Es un atentado terrorista "" ",El Español,02-04-2021,"Atacan con material explosivo la sede de Podemos en Cartagena :  "" Es un atentado terrorista ""  (El Español, 02-04-2021) | "
149,"Abascal contra Enrique Santiago , nuevo secretario de Estado :  "" Sueña con asesinar a los Reyes "" ",El Español,01-04-2021,"Abascal contra Enrique Santiago , nuevo secretario de Estado :  "" Sueña con asesinar a los Reyes ""  (El Español, 01-04-2021) | "
150,La batalla de Madrid : Casado busca impulso en Ayuso y Gabilondo sigue apoyándose en Moncloa,El Español,10-04-2021,"La batalla de Madrid : Casado busca impulso en Ayuso y Gabilondo sigue apoyándose en Moncloa (El Español, 10-04-2021) | "
151,"Ayuso corre por todo Madrid en su nuevo vídeo de campaña para defender  "" la lucha por la libertad "" ",El Español,10-04-2021,"Ayuso corre por todo Madrid en su nuevo vídeo de campaña para defender  "" la lucha por la libertad ""  (El Español, 10-04-2021) | "
152,"Gabilondo :  "" Parece que entre comunismo o libertad , Ayuso elige Putin ""  al sondear la vacuna rusa",El Español,06-04-2021,"Gabilondo :  "" Parece que entre comunismo o libertad , Ayuso elige Putin ""  al sondear la vacuna rusa (El Español, 06-04-2021) | "
153,"Ayuso reta a Sánchez tras sus  "" ataques ""  a Madrid :  "" Mirándole a los ojos , nos vemos el 4-M en las urnas "" ",El Español,05-04-2021,"Ayuso reta a Sánchez tras sus  "" ataques ""  a Madrid :  "" Mirándole a los ojos , nos vemos el 4-M en las urnas ""  (El Español, 05-04-2021) | "
154,"Alberto Garzón :  "" Hay una derecha capitaneada por Ayuso y por Vox que hace bandera de la desigualdad en España "" ",eldiario.es,03/04-2021,"Alberto Garzón :  "" Hay una derecha capitaneada por Ayuso y por Vox que hace bandera de la desigualdad en España ""  (eldiario.es, 03/04-2021) | "
155,El PP arremete contra Pedro Sánchez por poner en duda los datos de contagios de Madrid,El Mundo,09-04-2021,"El PP arremete contra Pedro Sánchez por poner en duda los datos de contagios de Madrid (El Mundo, 09-04-2021) | "
156,"Pedradas , botellazos y gritos de  "" fascistas ""  : cargas policiales , heridos y detenidos en la protesta violenta por el mitin de Vox",El Mundo,08-04-2021,"Pedradas , botellazos y gritos de  "" fascistas ""  : cargas policiales , heridos y detenidos en la protesta violenta por el mitin de Vox (El Mundo, 08-04-2021) | "
157,"Bertrand Ndongo , asesor de Vox , se rebela contra su partido :  "" Damos la razón a los que piensan que Vox es racista "" ",El Mundo,06-04-2021,"Bertrand Ndongo , asesor de Vox , se rebela contra su partido :  "" Damos la razón a los que piensan que Vox es racista ""  (El Mundo, 06-04-2021) | "
158,"Enrique López , número 4 de la lista del PP en Madrid :  "" La campaña del  'turismo de borrachera ' ideada por Moncloa es miserable y sólo busca atacar a Ayuso "" ",El Mundo,05-04-2021,"Enrique López , número 4 de la lista del PP en Madrid :  "" La campaña del  'turismo de borrachera ' ideada por Moncloa es miserable y sólo busca atacar a Ayuso ""  (El Mundo, 05-04-2021) | "
159,"Sánchez arremete contra Ayuso por contraponer comunismo y libertad :  "" Cualquiera con dos dedos de frente sabe que ese dilema es falso "" ",El Mundo,04-04-2021,"Sánchez arremete contra Ayuso por contraponer comunismo y libertad :  "" Cualquiera con dos dedos de frente sabe que ese dilema es falso ""  (El Mundo, 04-04-2021) | "
160,"Almeida :  "" ¿ Madrileñofobia ? Moncloa estigmatiza Madrid porque es la gran amenaza para Sánchez "" ",El Mundo,27-03-2021,"Almeida :  "" ¿ Madrileñofobia ? Moncloa estigmatiza Madrid porque es la gran amenaza para Sánchez ""  (El Mundo, 27-03-2021) | "
161,"Iglesias justifica su candidatura en Madrid para acabar con la última  "" trinchera ""  que resiste al  "" gobierno de coalición "" ",El Mundo,27-03-2021,"Iglesias justifica su candidatura en Madrid para acabar con la última  "" trinchera ""  que resiste al  "" gobierno de coalición ""  (El Mundo, 27-03-2021) | "
162,Iglesias activa su modo agresivo : acusa a Ayuso de gestión « criminal » y a Vox de « apología del terrorismo »,ABC,13-04-2021,"Iglesias activa su modo agresivo : acusa a Ayuso de gestión « criminal » y a Vox de « apología del terrorismo » (ABC, 13-04-2021) | "
163,"Pablo Iglesias augura que muchos responsables regionales acabarán en prisión por la gestión  "" criminal ""  en las residencias",El Mundo,13-04-2021,"Pablo Iglesias augura que muchos responsables regionales acabarán en prisión por la gestión  "" criminal ""  en las residencias (El Mundo, 13-04-2021) | "
164,"Martínez-Almeida pide  "" lanzar un mensaje ""  el 4-M :  "" Con la reunificación del centroderecha pondremos fin al sanchismo "" ",El Mundo,13-04-2021,"Martínez-Almeida pide  "" lanzar un mensaje ""  el 4-M :  "" Con la reunificación del centroderecha pondremos fin al sanchismo ""  (El Mundo, 13-04-2021) | "
165,"Maroto arremete contra Sánchez :  "" En vez de atacar al virus , usted sólo ataca a Ayuso , y eso es indecente "" ",El Español,13-04-2021,"Maroto arremete contra Sánchez :  "" En vez de atacar al virus , usted sólo ataca a Ayuso , y eso es indecente ""  (El Español, 13-04-2021) | "
166,Objetivo policial : investigar la financiación de los grupos radicales de izquierdas,ABC,12-04-2021,"Objetivo policial : investigar la financiación de los grupos radicales de izquierdas (ABC, 12-04-2021) | "
167,"Madrid , una batalla más allá de una comunidad autónoma",eldiario.es,03/04-2021,"Madrid , una batalla más allá de una comunidad autónoma (eldiario.es, 03/04-2021) | "
168,Guerra de debates electorales en Madrid : no hay pacto ni en la fecha ni en las cadenas,ABC,14-04-2021,"Guerra de debates electorales en Madrid : no hay pacto ni en la fecha ni en las cadenas (ABC, 14-04-2021) | "
169,Stalin en el alma,ABC,14-04-2021,"Stalin en el alma (ABC, 14-04-2021) | "
170,Hay que equiparar el comunismo al nazismo,El Español,14-04-2021,"Hay que equiparar el comunismo al nazismo (El Español, 14-04-2021) | "
171,Iglesias continúa su batalla contra los medios de comunicación,ABC,13-04-2021,"Iglesias continúa su batalla contra los medios de comunicación (ABC, 13-04-2021) | "
172,Guerra de denuncias ante la Junta Electoral,ABC,11-04-2021,"Guerra de denuncias ante la Junta Electoral (ABC, 11-04-2021) | "
173,"Cantó entra en campaña y carga contra Iglesias :  "" Vuelve a Vallecas un millón de euros más rico "" ",El Español,03-04-2021,"Cantó entra en campaña y carga contra Iglesias :  "" Vuelve a Vallecas un millón de euros más rico ""  (El Español, 03-04-2021) | "
174,Iglesias defiende la “ diversidad ” frente al “ odio y los insultos ” de la derecha en Madrid,El País,18-04-2021,"Iglesias defiende la “ diversidad ” frente al “ odio y los insultos ” de la derecha en Madrid (El País, 18-04-2021) | "
175,Díaz Ayuso agita el fantasma del comunismo para movilizar el voto y atraer el apoyo de los inmigrantes,El País,18-04-2021,"Díaz Ayuso agita el fantasma del comunismo para movilizar el voto y atraer el apoyo de los inmigrantes (El País, 18-04-2021) | "
176,Susto o Muerte,El País,18-04-2021,"Susto o Muerte (El País, 18-04-2021) | "
177,Vox resucita un lema electoral de Batasuna para pedir el voto el 4-M,El País,17-04-2021,"Vox resucita un lema electoral de Batasuna para pedir el voto el 4-M (El País, 17-04-2021) | "
178,"Iglesias carga contra el PSOE por sus reticencias en materia LGTB : « Lo que se firma , se cumple »",ABC,17-04-2021,"Iglesias carga contra el PSOE por sus reticencias en materia LGTB : « Lo que se firma , se cumple » (ABC, 17-04-2021) | "
179,El desplome de Ángel Gabilondo blinda a Isabel Díaz Ayuso e impide a la izquierda ser alternativa,El Mundo,17-04-2021,"El desplome de Ángel Gabilondo blinda a Isabel Díaz Ayuso e impide a la izquierda ser alternativa (El Mundo, 17-04-2021) | "
180,Ciudadanos y Vox luchan por no ser devorados por el  'efecto Ayuso ' en las urnas,El Mundo,17-04-2021,"Ciudadanos y Vox luchan por no ser devorados por el  'efecto Ayuso ' en las urnas (El Mundo, 17-04-2021) | "
181,La campaña de fichajes bomba en Madrid,El País,16-04-2021,"La campaña de fichajes bomba en Madrid (El País, 16-04-2021) | "
182,El Gobierno sigue la estela de Madrid y lanza una campaña para animar a la vacunación,ABC,16-04-2021,"El Gobierno sigue la estela de Madrid y lanza una campaña para animar a la vacunación (ABC, 16-04-2021) | "
183,"Ayuso contra Sánchez :  "" Quiere subir impuestos en Madrid pero le da más autonomía al País Vasco "" ",El Español,16-04-2021,"Ayuso contra Sánchez :  "" Quiere subir impuestos en Madrid pero le da más autonomía al País Vasco ""  (El Español, 16-04-2021) | "
184,Vox se querella contra Marlaska por las agresiones en el mitin de Vallecas,El Mundo,16-04-2021,"Vox se querella contra Marlaska por las agresiones en el mitin de Vallecas (El Mundo, 16-04-2021) | "
185,"La violencia política , otra vez en campaña",ABC,15-04-2021,"La violencia política , otra vez en campaña (ABC, 15-04-2021) | "
186,Iglesias asegura que muchos responsables regionales « acabarán en prisión » por la gestión « criminal » en las residencias,ABC,15-04-2021,"Iglesias asegura que muchos responsables regionales « acabarán en prisión » por la gestión « criminal » en las residencias (ABC, 15-04-2021) | "
187,"Iglesias acusa a la Policía de ser dura sólo con la izquierda :  "" Con los nazis , ¿ no hay detenciones ? "" ",El Español,15-04-2021,"Iglesias acusa a la Policía de ser dura sólo con la izquierda :  "" Con los nazis , ¿ no hay detenciones ? ""  (El Español, 15-04-2021) | "
188,"Última hora | Gabilondo se propone  "" impedir que Madrid se convierta en la primera gran ciudad europea gobernada por la ultraderecha "" ",El Español,15-04-2021,"Última hora | Gabilondo se propone  "" impedir que Madrid se convierta en la primera gran ciudad europea gobernada por la ultraderecha ""  (El Español, 15-04-2021) | "
189,"Edmundo Bal , Begoña Villacís y la guerra civil",El Español,15-04-2021,"Edmundo Bal , Begoña Villacís y la guerra civil (El Español, 15-04-2021) | "
190,"Última hora | Iglesias lleva a la Fiscalía el cartel de Vox , que "" recuerda a propaganda nazi "" ",El Español,2021-04-12,"Última hora | Iglesias lleva a la Fiscalía el cartel de Vox , que "" recuerda a propaganda nazi ""  (El Español, 2021-04-12) | "
191,"Última hora | Vara , contrario a abandonar los debates : "" Hay que combatir con la palabra "" ",El Español,2021-04-12,"Última hora | Vara , contrario a abandonar los debates : "" Hay que combatir con la palabra ""  (El Español, 2021-04-12) | "
192,Vox se querella contra Marlaska por las agresiones en el mitin de Vallecas,El Mundo,2021-04-16,"Vox se querella contra Marlaska por las agresiones en el mitin de Vallecas (El Mundo, 2021-04-16) | "
193,Casado llama a combatir el « virus del populismo » con la defensa de la libertad,ABC,2021-04-16,"Casado llama a combatir el « virus del populismo » con la defensa de la libertad (ABC, 2021-04-16) | "
194,"Iglesias acusa a Ayuso de "" secuestrar "" a los madrileños para "" hacer caer "" la coalición",El Español,2021-04-17,"Iglesias acusa a Ayuso de "" secuestrar "" a los madrileños para "" hacer caer "" la coalición (El Español, 2021-04-17) | "
195,Ciudadanos y Vox luchan por no ser devorados por el ' efecto Ayuso ' en las urnas,El Mundo,2021-04-17,"Ciudadanos y Vox luchan por no ser devorados por el ' efecto Ayuso ' en las urnas (El Mundo, 2021-04-17) | "
196,El desplome de Ángel Gabilondo blinda a Isabel Díaz Ayuso e impide a la izquierda ser alternativa,El Mundo,2021-04-17,"El desplome de Ángel Gabilondo blinda a Isabel Díaz Ayuso e impide a la izquierda ser alternativa (El Mundo, 2021-04-17) | "
197,"Los candidatos se atacan antes de la campaña : de la "" incapacidad "" de Ayuso al "" acomplejado "" Gabilondo",El Español,2021-04-17,"Los candidatos se atacan antes de la campaña : de la "" incapacidad "" de Ayuso al "" acomplejado "" Gabilondo (El Español, 2021-04-17) | "
198,¡ A la bayoneta !,ABC,2021-04-18," ¡ A la bayoneta !  (ABC, 2021-04-18) | "
199,"En el fortín de Ayuso : "" La clase obrera está sufriendo mucho . Hay mucha gente descontenta con el PSOE "" ",El Mundo,2021-04-19,"En el fortín de Ayuso : "" La clase obrera está sufriendo mucho . Hay mucha gente descontenta con el PSOE ""  (El Mundo, 2021-04-19) | "
200,Elecciones 4M : Podcast ‘ La batalla por Madrid ’,El País,2021-04-19,"Elecciones 4M : Podcast ‘ La batalla por Madrid ’  (El País, 2021-04-19) | "
201,Podcast ‘ La batalla por Madrid ’,El País,2021-04-20,"Podcast ‘ La batalla por Madrid ’  (El País, 2021-04-20) | "
202,"La dirección de Casado pide en campaña a todos sus cargos que defiendan que el PSOE "" blanquea dictaduras "" ",eldiario.es,2021-04-20,"La dirección de Casado pide en campaña a todos sus cargos que defiendan que el PSOE "" blanquea dictaduras ""  (eldiario.es, 2021-04-20) | "
203,La guerra entre Más Madrid y Pablo Iglesias,El Confidencial,2021-04-20,"La guerra entre Más Madrid y Pablo Iglesias (El Confidencial, 2021-04-20) | "
204,Abascal valora defenderse al sufrir Vox un nuevo ataque,ABC,2021-04-21,"Abascal valora defenderse al sufrir Vox un nuevo ataque (ABC, 2021-04-21) | "
205,Podcast ‘ La batalla por Madrid ’ | Ep 3 . Escuchando a Vallecas,El País,2021-04-21,"Podcast ‘ La batalla por Madrid ’ | Ep 3 . Escuchando a Vallecas (El País, 2021-04-21) | "
206,Isabel Díaz Ayuso se enfrenta hoy a los ataques de todos los partidos en el único debate a seis,El Mundo,2021-04-21,"Isabel Díaz Ayuso se enfrenta hoy a los ataques de todos los partidos en el único debate a seis (El Mundo, 2021-04-21) | "
207,"Radiografía de Ángel Gabilondo , candidato del PSOE : amable pero sin carisma ante una batalla perdida",La Razón,2021-04-21,"Radiografía de Ángel Gabilondo , candidato del PSOE : amable pero sin carisma ante una batalla perdida (La Razón, 2021-04-21) | "
208,Sánchez ataca la campaña de Vox desde Andorra : « Es una bajeza inclasificable »,ABC,2021-04-21,"Sánchez ataca la campaña de Vox desde Andorra : « Es una bajeza inclasificable »  (ABC, 2021-04-21) | "
209,Vox incendia la campaña en Madrid al señalar a 269 menores extranjeros,El Confidencial,2021-04-21,"Vox incendia la campaña en Madrid al señalar a 269 menores extranjeros (El Confidencial, 2021-04-21) | "
210,La pandemia y los mayores en residencias centran una dura batalla dialéctica entre los candidatos al 4 - M,ABC,2021-04-21,"La pandemia y los mayores en residencias centran una dura batalla dialéctica entre los candidatos al 4 - M (ABC, 2021-04-21) | "
211,Marlaska y Pablo Iglesias denuncian una amenaza de muerte recibida en el Ministerio del Interior,El Mundo,2021-04-22,"Marlaska y Pablo Iglesias denuncian una amenaza de muerte recibida en el Ministerio del Interior (El Mundo, 2021-04-22) | "
212,Así fueron los ataques en el debate de las elecciones de Madrid,ABC,2021-04-22,"Así fueron los ataques en el debate de las elecciones de Madrid (ABC, 2021-04-22) | "
213,"Los datos del debate : quién se va por las ramas , los ataques y las interrupciones",El Confidencial,2021-04-22,"Los datos del debate : quién se va por las ramas , los ataques y las interrupciones (El Confidencial, 2021-04-22) | "
214,Iglesias y Marlaska reciben sendas amenazas de muerte con balas : “ El tiempo de reírte de nosotros se terminó ”,El País,2021-04-22,"Iglesias y Marlaska reciben sendas amenazas de muerte con balas : “ El tiempo de reírte de nosotros se terminó ”  (El País, 2021-04-22) | "
215,Podcast ‘ La batalla por Madrid ’ | Ep . 4 : Seis candidatos y un solo debate feroz,El País,2021-04-22,"Podcast ‘ La batalla por Madrid ’ | Ep . 4 : Seis candidatos y un solo debate feroz (El País, 2021-04-22) | "
216,Pablo Iglesias abandona un debate porque Vox “ no se cree ” las amenazas de muerte y Rocío Monasterio le dice : “ Lárguese ”,La Razón,2021-04-23,"Pablo Iglesias abandona un debate porque Vox “ no se cree ” las amenazas de muerte y Rocío Monasterio le dice : “ Lárguese ”  (La Razón, 2021-04-23) | "
217,"Calvo asegura que el Gobierno “ no parará hasta encontrar a los responsables ” de las amenazas a Marlaska , Gámez e Iglesias",El País,2021-04-23,"Calvo asegura que el Gobierno “ no parará hasta encontrar a los responsables ” de las amenazas a Marlaska , Gámez e Iglesias (El País, 2021-04-23) | "
218,"Díaz Ayuso , sobre Iglesias : “ No puede ser que quienes provocan la violencia luego se hagan los ofendidos ” ",El País,2021-04-23,"Díaz Ayuso , sobre Iglesias : “ No puede ser que quienes provocan la violencia luego se hagan los ofendidos ”  (El País, 2021-04-23) | "
219,Iglesias abandona un debate al poner en duda Monasterio que haya sido amenazado de muerte,El Español,2021-04-23,"Iglesias abandona un debate al poner en duda Monasterio que haya sido amenazado de muerte (El Español, 2021-04-23) | "
220,La verdadera historia del intérprete de signos ' antifascista ' que ' cortó ' el discurso de Monasterio,El Español,2021-04-23,"La verdadera historia del intérprete de signos ' antifascista ' que ' cortó ' el discurso de Monasterio (El Español, 2021-04-23) | "
221,"Ayuso a Iglesias : "" Si quieres que condenen la violencia , aléjate de ella y no tontees con ETA "" ",El Español,2021-04-23,"Ayuso a Iglesias : "" Si quieres que condenen la violencia , aléjate de ella y no tontees con ETA ""  (El Español, 2021-04-23) | "
222,Podcast ‘ La batalla por Madrid ’ | Ep . 5 : De bares y cañas con unos guiris,El País,2021-04-23,"Podcast ‘ La batalla por Madrid ’ | Ep . 5 : De bares y cañas con unos guiris (El País, 2021-04-23) | "
223,"Elecciones Madrid Mitin tranquilo de Vox en Parla : « Condenamos toda la violencia , pero lo de Iglesias apesta a montaje » ",ABC,2021-04-23,"Elecciones Madrid Mitin tranquilo de Vox en Parla : « Condenamos toda la violencia , pero lo de Iglesias apesta a montaje »  (ABC, 2021-04-23) | "
224,"Ayuso carga contra Pablo Iglesias : "" No puede ser que aquellos que provocan la violencia luego se hagan los ofendidos "" ",eldiario.es,2021-04-23,"Ayuso carga contra Pablo Iglesias : "" No puede ser que aquellos que provocan la violencia luego se hagan los ofendidos ""  (eldiario.es, 2021-04-23) | "
225,Los mítines de PSOE y Unidas Podemos se convierten en alegatos contra el fascismo tras el plante de la izquierda a Vox,eldiario.es,2021-04-23,"Los mítines de PSOE y Unidas Podemos se convierten en alegatos contra el fascismo tras el plante de la izquierda a Vox (eldiario.es, 2021-04-23) | "
226,Vox y UP secuestran la campaña y convierten el 4 - M en un plebiscito sobre la democracia,El Confidencial,2021-04-23,"Vox y UP secuestran la campaña y convierten el 4 - M en un plebiscito sobre la democracia (El Confidencial, 2021-04-23) | "
227,Vox incendia la campaña al no condenar las amenazas a Iglesias : Unidas Podemos y Más Madrid no participarán en más debates con Monasterio,eldiario.es,2021-04-23,"Vox incendia la campaña al no condenar las amenazas a Iglesias : Unidas Podemos y Más Madrid no participarán en más debates con Monasterio (eldiario.es, 2021-04-23) | "
228,Vox copia las técnicas de propaganda nazi,El País,2021-04-23,"Vox copia las técnicas de propaganda nazi (El País, 2021-04-23) | "
229,"Pablo Iglesias , sobre las amenazas de muerte : "" Hoy son balas de cetme , mañana ya veremos "" ",eldiario.es,2021-04-23,"Pablo Iglesias , sobre las amenazas de muerte : "" Hoy son balas de cetme , mañana ya veremos ""  (eldiario.es, 2021-04-23) | "
230,"Ayuso pide no caer "" en guerras estériles "" el 4M mientras Casado acusa a la izquierda de "" resucitar al dóberman "" ",eldiario.es,2021-04-24,"Ayuso pide no caer "" en guerras estériles "" el 4M mientras Casado acusa a la izquierda de "" resucitar al dóberman ""  (eldiario.es, 2021-04-24) | "
231,"Illa cree que en Madrid se está produciendo "" un combate entre democracia y fascismo "" ",El Español,2021-04-24,"Illa cree que en Madrid se está produciendo "" un combate entre democracia y fascismo ""  (El Español, 2021-04-24) | "
232,Gabilondo acusa al PP de ' equidistancia ' al condenar las amenazas de muerte contra Iglesias y Marlaska,El Español,2021-04-24,"Gabilondo acusa al PP de ' equidistancia ' al condenar las amenazas de muerte contra Iglesias y Marlaska (El Español, 2021-04-24) | "
233,"Colau pide no normalizar el fascismo y apoya a Iglesias ante "" las amenazas de la extrema derecha "" ",eldiario.es,2021-04-24,"Colau pide no normalizar el fascismo y apoya a Iglesias ante "" las amenazas de la extrema derecha ""  (eldiario.es, 2021-04-24) | "
234,"El clic de abril : de "" socialismo o libertad "" a "" democracia o fascismo "" ",El Mundo,2021-04-24,"El clic de abril : de "" socialismo o libertad "" a "" democracia o fascismo ""  (El Mundo, 2021-04-24) | "
235,Vox dinamita la campaña : se suspenden todos los debates y sus mítines se convierten en un polvorín,El Español,2021-04-24,"Vox dinamita la campaña : se suspenden todos los debates y sus mítines se convierten en un polvorín (El Español, 2021-04-24) | "
236,Elecciones en Madrid : El choque Iglesias - Vox dinamita la campaña,La Razón,2021-04-24,"Elecciones en Madrid : El choque Iglesias - Vox dinamita la campaña (La Razón, 2021-04-24) | "
237,"El PSOE clama contra la "" equidistancia "" del PP y plantea el 4M como una batalla entre "" fascismo o democracia "" ",eldiario.es,2021-04-24,"El PSOE clama contra la "" equidistancia "" del PP y plantea el 4M como una batalla entre "" fascismo o democracia ""  (eldiario.es, 2021-04-24) | "
238,Grande - Marlaska llama al PP “ organización criminal ” y Pablo Casado le responde : “ Criminal son los etarras que acerca ”,La Razón,2021-04-25,"Grande - Marlaska llama al PP “ organización criminal ” y Pablo Casado le responde : “ Criminal son los etarras que acerca ”  (La Razón, 2021-04-25) | "
239,Quien con fuego juega . .,El País,2021-04-25,"Quien con fuego juega . .  (El País, 2021-04-25) | "
240,La manipulación de la violencia en campaña,La Razón,2021-04-25,"La manipulación de la violencia en campaña (La Razón, 2021-04-25) | "
241,Antifascismo y claves : Iglesias viaja al siglo XX para remontar en la segunda semana de la campaña,La Razón,2021-04-25,"Antifascismo y claves : Iglesias viaja al siglo XX para remontar en la segunda semana de la campaña (La Razón, 2021-04-25) | "
242,"El PP pide la dimisión de Marlaska por tachar al partido de "" organización criminal "" ",El Mundo,2021-04-25,"El PP pide la dimisión de Marlaska por tachar al partido de "" organización criminal ""  (El Mundo, 2021-04-25) | "
243,La izquierda reinventa la campaña : “ Ya va de democracia o fascismo ”,El País,2021-04-25,"La izquierda reinventa la campaña : “ Ya va de democracia o fascismo ”  (El País, 2021-04-25) | "
244,"Última hora de las elecciones en Madrid , en directo | Montero defiende el “ pie en la pared ” de Iglesias ante Vox y reclama : “ Al fascismo ni agua ” ",El País,2021-04-25,"Última hora de las elecciones en Madrid , en directo | Montero defiende el “ pie en la pared ” de Iglesias ante Vox y reclama : “ Al fascismo ni agua ”  (El País, 2021-04-25) | "
245,"Bal rechaza el mensaje "" binario "" de ' democracia o fascismo ' : "" No sólo hay buenos y malos en Madrid "" ",El Español,2021-04-25,"Bal rechaza el mensaje "" binario "" de ' democracia o fascismo ' : "" No sólo hay buenos y malos en Madrid ""  (El Español, 2021-04-25) | "
246,"Pedro Sánchez arremete contra Vox desde una zona confinada : "" El viernes cruzó una línea y será la última que cruce "" ",El Mundo,2021-04-25,"Pedro Sánchez arremete contra Vox desde una zona confinada : "" El viernes cruzó una línea y será la última que cruce ""  (El Mundo, 2021-04-25) | "
247,Antifascismo y claveles : Iglesias viaja al siglo XX para remontar en la segunda semana de la campaña,La Razón,2021-04-25,"Antifascismo y claveles : Iglesias viaja al siglo XX para remontar en la segunda semana de la campaña (La Razón, 2021-04-25) | "
248,Gabilondo : “ El 4 - M va de defender las libertades frente a una reivindicación fascista ”,El País,2021-04-25,"Gabilondo : “ El 4 - M va de defender las libertades frente a una reivindicación fascista ”  (El País, 2021-04-25) | "
249,De Púnica al ‘ caso Pujol ’ : el concepto de “ organización criminal ” con el que Grande - Marlaska se refirió al PP,El País,2021-04-26,"De Púnica al ‘ caso Pujol ’ : el concepto de “ organización criminal ” con el que Grande - Marlaska se refirió al PP (El País, 2021-04-26) | "
250,"Última hora de las elecciones en Madrid , en directo | Gabilondo anuncia “ un cordón sanitario ” contra Vox : “ Entre fascismo y antifascismo no hay neutralidad . Hay que elegir ” ",El País,2021-04-26,"Última hora de las elecciones en Madrid , en directo | Gabilondo anuncia “ un cordón sanitario ” contra Vox : “ Entre fascismo y antifascismo no hay neutralidad . Hay que elegir ”  (El País, 2021-04-26) | "
251,Sánchez y Ayuso radicalizan la campaña combatiendo a fascismo y comunismo,El Español,2021-04-26,"Sánchez y Ayuso radicalizan la campaña combatiendo a fascismo y comunismo (El Español, 2021-04-26) | "
252,"Gabilondo defiende las palabras de Marlaska en las que calificó al PP de "" organización criminal "" ",El Mundo,2021-04-26,"Gabilondo defiende las palabras de Marlaska en las que calificó al PP de "" organización criminal ""  (El Mundo, 2021-04-26) | "
253,"La ministra Maroto , tras denunciar en comisaría : "" Todos los demócratas estamos amenazados de muerte si no paramos a Vox en las urnas "" ",eldiario.es,2021-04-26,"La ministra Maroto , tras denunciar en comisaría : "" Todos los demócratas estamos amenazados de muerte si no paramos a Vox en las urnas ""  (eldiario.es, 2021-04-26) | "
254,"Un hombre con problemas mentales envió el sobre con la navaja ensangrentada a Reyes Maroto , según la Policía",El Mundo,2021-04-26,"Un hombre con problemas mentales envió el sobre con la navaja ensangrentada a Reyes Maroto , según la Policía (El Mundo, 2021-04-26) | "
255,La ministra Reyes Maroto recibe una carta con una navaja aparentemente ensangrentada,El País,2021-04-26,"La ministra Reyes Maroto recibe una carta con una navaja aparentemente ensangrentada (El País, 2021-04-26) | "
