,Palabra,Cita,Titular,Diario,Fecha
135,muerta,1,"«Estás muerta» y «fascista», las amenazas que recibía Ayuso en la carta",ABC,2021-04-28
134,muerte,0,Pablo Iglesias recibe en la sede de la Guardia Civil otra carta con proyectiles y una amenaza de muerte,El Español,2021-04-28
133,holocausto,1,Elecciones Madrid El uso de 'nazismo' y 'Holocausto' en la campaña electoral: lo que piensa la comunidad judía,ABC,2021-04-28
132,fascista,1,"«Estás muerta» y «fascista», las amenazas que recibía Ayuso en la carta",ABC,2021-04-28
130,violencia,0,Edmundo Bal lanza un manifiesto al resto de candidatos para condenar la violencia y renunciar a la crispación,El Mundo,2021-04-28
128,Holocausto,1,Elecciones Madrid El uso de 'nazismo' y 'Holocausto' en la campaña electoral: lo que piensa la comunidad judía,ABC,2021-04-28
151,ensangrentado,0,"Denunciada una tienda por vender camisetas con el rostro de Pablo Iglesias ensangrentado, con una diana en la cabeza o el texto: ""Se busca vivo o muerto""",eldiario.es,2021-04-28
138,muerte,0,La Guardia Civil intercepta una carta con varios proyectiles y una amenaza de muerte dirigida a Pablo Iglesias,El Mundo,2021-04-28
158,lucha,0,El PSOE da otro bandazo en la campaña y Gabilondo ya sólo lucha por el liderazgo de la izquierda,El Español,2021-04-29
167,dispara,0,La celebración del Dos de Mayo como colofón de la campaña electoral dispara la tensión entre los partidos,El País,2021-04-29
154,luchar,0,El PSOE da otro bandazo en la campaña y Gabilondo ya sólo lucha por el liderazgo de la izquierda,El Español,2021-04-29
155,batalla,1,Podcast ‘La batalla por Madrid’ | Ep. 9: ¿Es Madrid un paraíso fiscal?,El País,2021-04-29
185,fascista,1,"""Traidor, amargada, rata, fascista"": Cs despliega una lona y pide que vuelva ""el Madrid de la concordia""",El Español,2021-04-29
